sql_title,pandas_title,rows_match
The Torch Is Passed: A Harding Family Story,The Torch Is Passed: A Harding Family Story,True
The Secret of Dreadwillow Carse,The Secret of Dreadwillow Carse,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",True
The Past Never Ends,The Past Never Ends,True
The Natural History of Us (The Fine Art of Pretending #2),The Natural History of Us (The Fine Art of Pretending #2),True
The Nameless City (The Nameless City #1),The Nameless City (The Nameless City #1),True
The Murder That Never Was (Forensic Instincts #5),The Murder That Never Was (Forensic Instincts #5),True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,True
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer","The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,The Gutsy Girl: Escapades for Your Life of Epic Adventure,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,The Electric Pencil: Drawings from Inside State Hospital No. 3,True
The Death of Humanity: and the Case for Life,The Death of Humanity: and the Case for Life,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life","The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",True
The Art Forger,The Art Forger,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,True
Soul Reader,Soul Reader,True
Security,Security,True
"Saga, Volume 6 (Saga (Collected Editions) #6)","Saga, Volume 6 (Saga (Collected Editions) #6)",True
"Saga, Volume 5 (Saga (Collected Editions) #5)","Saga, Volume 5 (Saga (Collected Editions) #5)",True
Reskilling America: Learning to Labor in the Twenty-First Century,Reskilling America: Learning to Labor in the Twenty-First Century,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)","Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",True
Princess Between Worlds (Wide-Awake Princess #5),Princess Between Worlds (Wide-Awake Princess #5),True
"Pop Gun War, Volume 1: Gift","Pop Gun War, Volume 1: Gift",True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics","Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",True
Patience,Patience,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)","Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",True
orange: The Complete Collection 1 (orange: The Complete Collection #1),orange: The Complete Collection 1 (orange: The Complete Collection #1),True
Online Marketing for Busy Authors: A Step-By-Step Guide,Online Marketing for Busy Authors: A Step-By-Step Guide,True
On a Midnight Clear,On a Midnight Clear,True
Obsidian (Lux #1),Obsidian (Lux #1),True
My Paris Kitchen: Recipes and Stories,My Paris Kitchen: Recipes and Stories,True
Masks and Shadows,Masks and Shadows,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed","Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),True
"Layered: Baking, Building, and Styling Spectacular Cakes","Layered: Baking, Building, and Styling Spectacular Cakes",True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),True
Join,Join,True
In the Country We Love: My Family Divided,In the Country We Love: My Family Divided,True
